wp,cfg,fluid_hp,fluid_he,seed_count,union_front_size,hv_cv_sample,maximum_igd_plus,mean_igd_plus,eta_p2p_maximum_cv_sample,energy_density_thermal_maximum_cv_sample,exergy_efficiency_maximum_cv_sample,hv_cv_pass,igd_plus_pass,extreme_cv_pass,top_rank_seed_count,rank_stability_pass,confirmed_front,accepted_for_s5,s4_status,failure_codes,evidence_status
DC-B,SRVCHP_SRORC,Cyclopentane,R236ea,5,6002,0.006035060687996427,0.004320898868047176,0.0025889125383360026,0.007886543979068635,0.0006736029390960917,0.0016250243128398598,True,True,True,5,True,True,True,S4_RECOMMENDABLE,,EVIDENCE_SUFFICIENT
DC-B,SRVCHP_SRORC,Cyclopentane,R365MFC,5,5774,0.004109582417290404,0.0023273161870476663,0.001853925261050719,0.003116859157111467,0.00017722049457511024,0.003841000386547051,True,True,True,5,True,True,True,S4_RECOMMENDABLE,,EVIDENCE_SUFFICIENT
DC-B,SRVCHP_SRORC,R245fa,R227EA,5,2627,0.0035894842749601796,0.0018943031356070117,0.0013305712501529205,0.006580560329207051,6.595825910827144e-05,0.0029888979598574027,True,True,True,0,False,True,False,S4_CONFIRMED_FRONT,S4_RANK_NOT_STABLE,EVIDENCE_SUFFICIENT
DC-B,SRVCHP_SRORC,R600,R227EA,5,1987,0.00789485395639078,0.002263639670628757,0.0018258570078057337,0.012808345558524632,6.642354578218564e-05,0.005395196518716831,True,True,True,0,False,True,False,S4_CONFIRMED_FRONT,S4_RANK_NOT_STABLE,EVIDENCE_SUFFICIENT
DC-B,SRVCHP_SRORC,R601a,R227EA,5,2071,0.006265001564649224,0.0032101564749649424,0.0018783154450569862,0.007064663740093589,6.988668243904076e-05,0.002671167715047372,True,True,True,5,True,True,True,S4_RECOMMENDABLE,,EVIDENCE_SUFFICIENT
DC-C,SBVCHP_SBORC,Acetone,R236fa,5,6651,0.001820289292500889,0.0031031742896969034,0.002516476737607291,0.013814033635367498,7.141840702991743e-06,0.0007691375815975133,True,True,True,0,False,True,False,S4_CONFIRMED_FRONT,S4_RANK_NOT_STABLE,EVIDENCE_SUFFICIENT
DC-C,SBVCHP_SBORC,Acetone,R245fa,5,7150,0.004805964123639282,0.004287256043754345,0.003087885407704412,0.03391506006442838,1.2818857701637119e-05,0.002577593329490806,True,True,False,0,False,False,False,S4_UNSTABLE,S4_UNSTABLE_ETA_EXTREME;S4_RANK_NOT_STABLE,EVIDENCE_INSUFFICIENT
DC-C,SBVCHP_SBORC,Acetone,R600,5,6957,0.003519832867284503,0.0036645773417180506,0.002867644745210382,0.026842687697742555,1.9984175429411768e-05,0.001649060170401426,True,True,True,0,False,True,False,S4_CONFIRMED_FRONT,S4_RANK_NOT_STABLE,EVIDENCE_SUFFICIENT
DC-C,SBVCHP_SBORC,Acetone,R600a,5,6902,0.006822225387781103,0.004259023101844745,0.002783091026729246,0.032663613849912905,3.225386931772206e-05,0.0026715396999318192,True,True,False,0,False,False,False,S4_UNSTABLE,S4_UNSTABLE_ETA_EXTREME;S4_RANK_NOT_STABLE,EVIDENCE_INSUFFICIENT
DC-C,SBVCHP_SBORC,R1233zd(E),R227EA,5,4801,0.008186919497290258,0.004959178489793354,0.0037472615918500004,0.051691435442716205,1.778556688275928e-05,0.001871430776772453,True,True,False,0,False,False,False,S4_UNSTABLE,S4_UNSTABLE_ETA_EXTREME;S4_RANK_NOT_STABLE,EVIDENCE_INSUFFICIENT
DC-C,SRVCHP_SRORC,Acetone,R236ea,5,7101,0.00796144472945323,0.005514115001724909,0.0034077566847051737,0.04392849864814298,0.00015173557129540124,0.0007783889799879247,True,True,False,5,True,False,False,S4_UNSTABLE,S4_UNSTABLE_ETA_EXTREME,EVIDENCE_INSUFFICIENT
DC-C,SRVCHP_SRORC,Cyclopentane,R236ea,5,7643,0.0008770317745365835,0.003312180547752457,0.00308534816109159,0.01403507657867959,0.0001316690302225212,0.0008576730152970939,True,True,True,5,True,True,True,S4_RECOMMENDABLE,,EVIDENCE_SUFFICIENT
DC-C,SRVCHP_SRORC,Cyclopentane,R600,5,7515,0.004569164589092773,0.004476155610171131,0.0034267870013707557,0.0227655884477847,0.0008762420506865671,0.0019707547424717363,True,True,True,5,True,True,True,S4_RECOMMENDABLE,,EVIDENCE_SUFFICIENT
DC-C,SRVCHP_SRORC,R1233zd(E),R227EA,5,4324,0.003508370003074628,0.004280908326716004,0.003144600450175937,0.003382731926112284,0.00011751595109068267,0.0026671076769270033,True,True,True,0,False,True,False,S4_CONFIRMED_FRONT,S4_RANK_NOT_STABLE,EVIDENCE_SUFFICIENT
DC-C,SRVCHP_SRORC,R600,R236ea,5,6501,0.004301537973032682,0.004560650674709746,0.0029790432235032665,0.012317477836123702,0.0004283281106736041,0.00253519597115935,True,True,True,0,False,True,False,S4_CONFIRMED_FRONT,S4_RANK_NOT_STABLE,EVIDENCE_SUFFICIENT
DC-D,SBVCHP_SBORC,Acetone,R236ea,5,6532,0.0010188433132907841,0.0032618279505476754,0.0022848455581094334,0.0049710502850794655,1.082253501288956e-05,0.0011182177783360446,True,True,True,0,False,True,False,S4_CONFIRMED_FRONT,S4_RANK_NOT_STABLE,EVIDENCE_SUFFICIENT
DC-D,SBVCHP_SBORC,Acetone,R236fa,5,6175,0.00609740945624935,0.0032090821968001064,0.002344627771030048,0.0027213586236269167,1.5189955223714519e-05,0.0022211508625352883,True,True,True,0,False,True,False,S4_CONFIRMED_FRONT,S4_RANK_NOT_STABLE,EVIDENCE_SUFFICIENT
DC-D,SBVCHP_SBORC,Acetone,R245fa,5,7180,0.004167133783994441,0.0025702969746174737,0.0022248401477269414,0.006399531966928321,1.0342852971861263e-05,0.002033898506577872,True,True,True,0,False,True,False,S4_CONFIRMED_FRONT,S4_RANK_NOT_STABLE,EVIDENCE_SUFFICIENT
DC-D,SBVCHP_SBORC,Acetone,R365MFC,5,7479,0.0033798231230378626,0.002960915605884314,0.0021943240626523873,0.008234559515286764,0.001434114254752944,0.0019101529898892518,True,True,True,0,False,True,False,S4_CONFIRMED_FRONT,S4_RANK_NOT_STABLE,EVIDENCE_SUFFICIENT
DC-D,SBVCHP_SBORC,R1233zd(E),R227EA,5,2845,0.009971899728580497,0.004031354050382449,0.002566416546423447,0.030136731602523448,4.01996398176323e-05,0.006204992782109366,True,True,False,0,False,False,False,S4_UNSTABLE,S4_UNSTABLE_ETA_EXTREME;S4_RANK_NOT_STABLE,EVIDENCE_INSUFFICIENT
DC-D,SRVCHP_SRORC,Acetone,R236ea,5,7056,0.002698504195657702,0.00396511947825376,0.0026883337463697093,0.0023006088026445823,0.00014108642932162562,0.0006543673118760124,True,True,True,5,True,True,True,S4_RECOMMENDABLE,,EVIDENCE_SUFFICIENT
DC-D,SRVCHP_SRORC,Acetone,R365MFC,5,8020,0.0042068407013837,0.004054276332956167,0.0029351507062552414,0.0018915869107595867,3.659509710464699e-05,0.0007256858841127732,True,True,True,5,True,True,True,S4_RECOMMENDABLE,,EVIDENCE_SUFFICIENT
DC-D,SRVCHP_SRORC,Cyclopentane,R227EA,5,2205,0.013106904893360602,0.006698262957480686,0.004224929305333114,0.005397529439920982,8.724847960122853e-05,0.005642808303033664,True,True,True,0,False,True,False,S4_CONFIRMED_FRONT,S4_RANK_NOT_STABLE,EVIDENCE_SUFFICIENT
DC-D,SRVCHP_SRORC,Cyclopentane,R365MFC,5,7154,0.003641294023626175,0.0043758478592748,0.0033304825637730713,0.0008731795427719679,0.002741743715398572,0.001747325302915469,True,True,True,5,True,True,True,S4_RECOMMENDABLE,,EVIDENCE_SUFFICIENT
DC-D,SRVCHP_SRORC,R1233zd(E),R227EA,5,2306,0.0038977170434649593,0.004400764940261943,0.00330089155263658,0.00402220615584821,6.722750469160002e-05,0.0028832517099155967,True,True,True,0,False,True,False,S4_CONFIRMED_FRONT,S4_RANK_NOT_STABLE,EVIDENCE_SUFFICIENT
DC-E,SBVCHP_SBORC,Acetone,R1234ze(E),5,6063,0.009573652477243297,0.005710353421166721,0.0037796379261508723,9.266496025640031e-05,2.590990860588785e-05,0.002150613043827451,True,True,True,0,False,True,False,S4_CONFIRMED_FRONT,S4_RANK_NOT_STABLE,EVIDENCE_SUFFICIENT
DC-E,SBVCHP_SBORC,Acetone,R236ea,5,6028,0.015248613430825243,0.011159965103384573,0.005181513751252368,0.023620298615442552,0.00010657162976114332,0.0038281669250186333,True,True,True,0,False,True,False,S4_CONFIRMED_FRONT,S4_RANK_NOT_STABLE,EVIDENCE_SUFFICIENT
DC-E,SBVCHP_SBORC,Acetone,R600,5,7055,0.004093384084290273,0.005061473541182675,0.00426540693186498,0.00572687164765592,6.786819849319614e-05,0.002464730453165549,True,True,True,0,False,True,False,S4_CONFIRMED_FRONT,S4_RANK_NOT_STABLE,EVIDENCE_SUFFICIENT
DC-E,SBVCHP_SBORC,Acetone,R600a,5,6603,0.004176638876867594,0.005056393776370945,0.0038032740062658352,2.909666137436398e-05,5.50667195788123e-05,0.0008230316472247674,True,True,True,0,False,True,False,S4_CONFIRMED_FRONT,S4_RANK_NOT_STABLE,EVIDENCE_SUFFICIENT
DC-E,SBVCHP_SBORC,Cyclopentane,R227EA,5,5124,0.007536069971069851,0.006760369517731707,0.0044215201657095094,0.00010055522241475427,3.532878775172294e-05,0.004872839556071453,True,True,True,0,False,True,False,S4_CONFIRMED_FRONT,S4_RANK_NOT_STABLE,EVIDENCE_SUFFICIENT
DC-E,SRVCHP_SRORC,Acetone,R236ea,5,7643,0.0023718081948904675,0.004512905394805189,0.003787609874328691,7.620687835885442e-05,0.0003926598344240062,0.0014701215691908687,True,True,True,5,True,True,True,S4_RECOMMENDABLE,,EVIDENCE_SUFFICIENT
DC-E,SRVCHP_SRORC,Cyclopentane,R227EA,5,4514,0.0053191304660975165,0.00594850081990613,0.0045018167619227415,7.704090013753642e-05,0.00013671100723548874,0.003454914499056131,True,True,True,0,False,True,False,S4_CONFIRMED_FRONT,S4_RANK_NOT_STABLE,EVIDENCE_SUFFICIENT
DC-E,SRVCHP_SRORC,Cyclopentane,R245fa,5,8644,0.002005482614165158,0.003969984625464099,0.0036551854924024582,2.5133067375048782e-05,0.00031535786553051276,0.001360703731803949,True,True,True,5,True,True,True,S4_RECOMMENDABLE,,EVIDENCE_SUFFICIENT
DC-E,SRVCHP_SRORC,R1233zd(E),R227EA,5,4096,0.0049414916694017616,0.0072197368765992975,0.005113538714752034,3.890751627181494e-05,0.0001291684073730149,0.00414096241252047,True,True,True,0,False,True,False,S4_CONFIRMED_FRONT,S4_RANK_NOT_STABLE,EVIDENCE_SUFFICIENT
DC-E,SRVCHP_SRORC,R601a,R600,5,6510,0.006434651862688296,0.007746434084535571,0.00494456156608924,0.00032268056644441817,0.0009732139217658643,0.001269207917275622,True,True,True,5,True,True,True,S4_RECOMMENDABLE,,EVIDENCE_SUFFICIENT
DC-F,SBVCHP_SBORC,Acetone,R236ea,5,6975,0.007069707516540799,0.004722543338803876,0.0034917548179921242,0.03723771384527853,0.00024011808781106034,0.0017334020343726078,True,True,False,0,False,False,False,S4_UNSTABLE,S4_UNSTABLE_ETA_EXTREME;S4_RANK_NOT_STABLE,EVIDENCE_INSUFFICIENT
DC-F,SBVCHP_SBORC,Acetone,R236fa,5,6229,0.00812938223744718,0.006540641505545892,0.004663850036691916,0.07033991482354723,2.6854899411962436e-05,0.0030780088071375405,True,True,False,0,False,False,False,S4_UNSTABLE,S4_UNSTABLE_ETA_EXTREME;S4_RANK_NOT_STABLE,EVIDENCE_INSUFFICIENT
DC-F,SBVCHP_SBORC,Acetone,R365MFC,5,7986,0.010002839749585844,0.006712390792232239,0.004038861794743402,0.035059231059940354,0.0004111495941286198,0.003121685968888208,True,True,False,0,False,False,False,S4_UNSTABLE,S4_UNSTABLE_ETA_EXTREME;S4_RANK_NOT_STABLE,EVIDENCE_INSUFFICIENT
DC-F,SBVCHP_SBORC,Cyclopentane,R227EA,5,3524,0.013908759211648983,0.006817018582339753,0.004497196725273804,0.04103364800007682,1.3263271262310164e-05,0.006984978545980552,True,True,False,0,False,False,False,S4_UNSTABLE,S4_UNSTABLE_ETA_EXTREME;S4_RANK_NOT_STABLE,EVIDENCE_INSUFFICIENT
DC-F,SBVCHP_SBORC,Cyclopentane,R236ea,5,6498,0.004572333333896168,0.0036165225011836216,0.0031178929548310763,0.024689451805518257,6.854236171180407e-05,0.00047764199203740107,True,True,True,0,False,True,False,S4_CONFIRMED_FRONT,S4_RANK_NOT_STABLE,EVIDENCE_SUFFICIENT
DC-F,SRVCHP_SRORC,Acetone,R236ea,5,8112,0.00573688863698027,0.005267093764863262,0.003899792681851328,0.02222117763871973,0.00946280788667732,0.002062257461090809,True,True,True,5,True,True,True,S4_RECOMMENDABLE,,EVIDENCE_SUFFICIENT
DC-F,SRVCHP_SRORC,Acetone,R365MFC,5,8014,0.010746060145949752,0.0070102123683532126,0.0040474558780855,0.027946535631176776,0.01027286309424764,0.0016907484558136329,True,True,True,5,True,True,True,S4_RECOMMENDABLE,,EVIDENCE_SUFFICIENT
DC-F,SRVCHP_SRORC,CycloHexane,R227EA,5,3257,0.005552438619500307,0.006486311210317091,0.005669036034073186,0.014901882527445646,0.002096698239076008,0.002677583955516591,True,True,True,0,False,True,False,S4_CONFIRMED_FRONT,S4_RANK_NOT_STABLE,EVIDENCE_SUFFICIENT
DC-F,SRVCHP_SRORC,Cyclopentane,R365MFC,5,8408,0.009398874512833277,0.005608488581008532,0.004306172420134826,0.022225792291122443,0.018950824289541625,0.0015403226223913336,True,True,True,5,True,True,True,S4_RECOMMENDABLE,,EVIDENCE_SUFFICIENT
DC-F,SRVCHP_SRORC,R1233zd(E),R227EA,5,3032,0.013247207256644137,0.010695071823581896,0.006495882852758743,0.022150093820626243,0.0016594580235095417,0.006408576237612651,True,True,True,0,False,True,False,S4_CONFIRMED_FRONT,S4_RANK_NOT_STABLE,EVIDENCE_SUFFICIENT
